,household_id,id,name,sex,age,occupation,father,mother,paternal_grandfather,maternal_grandfather,spouse,siblings,children,relation_to_declarant,role,owner
376,145 Ar 3,145 Ar 3-FM3,Achillis,female,15,,Herakles,145 Ar 3-d1,Kronion,,,[],[],daughter,family member,
377,145 Ar 3,145 Ar 3-FM4,Serapias,female,18,,Thermion,,,,145 Ar 3-FM1,[],[],,family member,
378,145 Ar 3,145 Ar 3-FM5,Apias,female,70,,Lysimachos,,,,,[],['145 Ar 3-d1'],mother,family member,
379,145 Ar 3,145 Ar 3-S1,Lampra,,5,,,,,,,[],[],,slave,
380,145-Ar-4,145-Ar-4-d1,Herakleia,female,age lost,,Herakles,Tapetesouchos,,,,[],[],self,family member,
381,145 Ar 5,145 Ar 5-d1,Eudarion,male,30,idiotes,NN,Thermoutharion,Eudaimon,,,[],[],self,family member,
382,145 Ar 5,145 Ar 5-NK1,NN,male or female,age lost,,NN,NN,,Euremon,,[],[],,free non-kin,
383,145 Ar 5,145 Ar 5-NK2,NN,male or female,age lost,idiotes,NN,the,,,,[],[],,free non-kin,
384,145 Ar 5,145 Ar 5-NK3,Aphrodous alias NN,,age lost,,,,,,,[],[],,free non-kin,
385,145 Ar 5,145 Ar 5-NK4,Charidemos,,age lost,idiotes,,,,,,[],[],,free non-kin,
386,145 Ar 5,145 Ar 5-S1,Epagathos,,age lost,,,,,,,[],[],,slave,Eudarion [declarant]
387,145-Ar 6,145-Ar 6-d1,NN,female,,,Ptolemaios,,,,,[],[],self,family member,
388,145-Ar 6,145-Ar 6-FM1,NN,,5,,,,,,,[],[],,family member,
389,145-Ar 6,145-Ar 6-FM2,Apion,,2,,,,,,,[],[],,family member,
390,145-Ar 6,145-Ar 6-FM3,Onesas,,age lost,,,,,,,[],[],,family member,
391,145-Ar 6,145-Ar 6-FM4,NN,female,age lost,,NN,,Onesas,,NN,[],['145-Ar 6-FM5'],,family member,
392,145-Ar 6,145-Ar 6-FM5,Phelon,male,5,,NN,145-Ar 6-FM4,,,,[],[],,family member,
393,145-Ar-7,145-Ar-7-d1,Didymos,,,,,Longinia,,,,[],[],self,family member,
394,145-Ar-8,145-Ar-8-d1,Isidora,female,,,Heron,Isidora,Heron,Asklepiades,,[],[],self,family member,
395,145-Ar-8,145-Ar-8-FM1,Zoidous [?,female,age lost,,Sokrates,Aphrodous,,,,[],[],,family member,
396,145-Ar-8,145-Ar-8-FM2,NN,,5,,,,,,,[],[],,family member,
397,145-Ar-9,145-Ar-9-d1,Name lost,,,,,,,,,['145-Ar-9-FM2'],"['145-Ar-9-FM3', '145-Ar-9-FM4', '145-Ar-9-FM5', '145-Ar-9-FM6']",self,family member,
398,145-Ar-9,145-Ar-9-FM1,Chares,male,[6?]3,,Atarios,Charition,Dionysios,,,[],[],,family member,
399,145-Ar-9,145-Ar-9-FM2,Herois,female,41,,Atarios,Tertia,Dionysios,,,['145-Ar-9-d1'],"['145-Ar-9-FM3', '145-Ar-9-FM4']",sister,family member,
400,145-Ar-9,145-Ar-9-FM3,Atarias,male,21,,145-Ar-9-d1,145-Ar-9-FM2,,,145-Ar-9-FM4,['145-Ar-9-FM4'],[],son,family member,
401,145-Ar-9,145-Ar-9-FM4,Athenarion,female,13,,145-Ar-9-d1,145-Ar-9-FM2,,,145-Ar-9-FM3,['145-Ar-9-FM3'],[],daughter,family member,
402,145-Ar-9,145-Ar-9-FM5,Charition,female,11,,145-Ar-9-d1,,,,,[],[],daughter,family member,
403,145-Ar-9,145-Ar-9-FM6,Didyme,female,age lost,,145-Ar-9-d1,,,,,[],[],daughter,family member,
404,145-Ar-9,145-Ar-9-FM7,NN,male,40,idiotes,Dioskoros,Rhodous,,Dioskoros,,[],[],,family member,
405,145-Ar-9,145-Ar-9-S1,NN,female,age lost,,,,,,,[],[],,slave,Aphrodisios
406,145-Ar-9,145-Ar-9-S2,Pasion,male,20,,,NN [no.l],,,,[],[],,slave,
407,145-Ar-9,145-Ar-9-S3,Harpalos,male,18,,,NN [no.l],,,,[],[],,slave,
408,145-Ar-9,145-Ar-9-S4,Herois,female,8,,,NN [no.l],,,,[],[],,slave,
